transaction_id,customer_id,product_category,purchase_value,discount_used,purchase_date,is_refunded,refund_date,refund_reason
40,3428,fashion,104.56,0,2020-10-17,0,,
41,9960,home,440.42,0,2022-09-15,0,,
42,7271,sports,101.41,0,2019-07-23,0,,
43,1242,home,411.26,1,2020-02-28,0,,
44,849,fashion,38.19,0,2021-10-10,0,,
45,361,toys,63.68,1,2023-06-01,0,,
46,6822,fashion,81.91,0,2024-02-29,0,,
47,179,sports,151.6,0,2023-08-16,1,1693785600000000000,changed_mind
48,7621,sports,66.71,1,2021-02-10,0,,
49,4631,fashion,22.98,0,2023-09-26,0,,
50,2523,home,346.45,1,2021-11-18,0,,
51,1536,fashion,114.03,0,2022-12-06,0,,
52,5997,sports,194.28,0,2021-03-31,0,,
53,6499,toys,27.85,1,2024-08-31,0,,
54,832,beauty,87.0,0,2020-02-07,1,1582934400000000000,wrong_item
55,5074,beauty,252.48,0,2023-06-30,0,,
56,820,home,390.18,1,2021-12-25,0,,
57,4686,beauty,114.3,0,2024-01-06,0,,
58,6039,toys,54.65,0,2019-04-02,1,1556236800000000000,wrong_item
59,6775,toys,67.97,0,2021-09-02,0,,
60,9466,fashion,162.21,1,2021-07-08,0,,
61,2211,toys,10.41,1,2021-12-03,0,,
62,6366,toys,66.94,0,2019-04-12,1,1557532800000000000,wrong_item
63,5983,sports,118.11,0,2021-09-25,0,,
64,2662,home,370.45,0,2020-12-13,0,,
65,1708,sports,123.99,0,2024-10-10,0,,
66,646,fashion,117.0,0,2024-11-14,1,1732147200000000000,late_delivery
67,382,toys,55.27,0,2019-05-10,0,,
68,6641,electronics,575.24,0,2023-12-23,0,,
69,550,sports,163.58,1,2019-04-03,0,,
70,439,electronics,912.63,1,2019-03-14,0,,
71,1422,home,259.1,1,2019-08-16,0,,
72,1628,home,46.43,0,2024-09-09,0,,
73,3716,fashion,22.06,0,2019-07-14,0,,
74,6674,sports,205.17,0,2023-09-06,0,,
75,2500,toys,69.31,0,2022-11-26,0,,
76,800,home,401.23,1,2021-05-10,0,,
77,4587,toys,31.73,1,2019-12-07,0,,
78,2267,toys,42.98,0,2022-11-25,0,,
79,6964,home,147.71,0,2024-03-06,0,,
80,6396,sports,296.96,0,2024-01-20,0,,
81,1701,sports,92.94,0,2024-02-20,0,,
82,8254,electronics,587.07,0,2021-11-11,0,,
83,3174,fashion,128.98,0,2022-07-16,0,,
84,3241,home,442.97,0,2022-08-17,0,,
85,2245,toys,13.6,0,2020-09-12,0,,
86,2242,home,178.47,0,2021-11-25,0,,
87,8187,fashion,111.04,1,2022-02-25,0,,
88,2989,home,324.42,1,2023-05-13,0,,
89,7908,toys,14.9,0,2023-04-13,0,,
90,7451,toys,56.49,0,2024-10-09,0,,
91,5066,fashion,104.49,0,2023-09-10,0,,
92,8284,home,420.71,1,2023-04-25,0,,
93,7923,toys,25.55,1,2020-11-17,0,,
94,2392,sports,74.61,0,2020-06-26,0,,
95,703,beauty,242.13,1,2022-05-31,0,,
96,3410,beauty,217.08,0,2022-04-06,0,,
97,2637,beauty,241.67,1,2024-03-13,0,,
98,7216,beauty,238.94,1,2021-01-10,0,,
99,8778,sports,49.12,0,2023-05-26,0,,
100,2747,home,168.15,0,2024-08-23,0,,
101,107,home,159.64,0,2020-11-06,0,,
102,2432,fashion,169.53,0,2023-11-15,0,,
103,7796,toys,44.12,0,2024-10-18,0,,
104,7582,beauty,51.1,1,2023-06-10,0,,
105,4836,home,173.21,0,2021-03-08,0,,
106,8777,electronics,1065.5,0,2023-09-08,1,1695340800000000000,changed_mind
107,4078,home,429.65,0,2023-01-07,0,,
108,4804,fashion,164.05,1,2020-06-12,1,1592265600000000000,damaged
109,3094,sports,128.79,0,2021-11-06,0,,
110,2125,beauty,199.58,1,2019-07-09,0,,
111,94,fashion,64.51,1,2024-10-08,0,,
112,6895,beauty,70.63,0,2023-02-26,0,,
113,8420,toys,11.53,0,2021-04-11,0,,
114,6533,sports,82.56,0,2019-06-18,0,,
115,9058,home,318.01,0,2024-01-28,0,,
116,613,home,455.94,1,2020-09-18,0,,
117,9689,sports,57.36,0,2024-06-29,0,,
118,1183,beauty,277.04,1,2020-01-23,0,,
119,8113,sports,116.71,1,2020-07-07,0,,
120,7887,fashion,88.29,0,2022-01-21,0,,
121,455,electronics,533.23,1,2020-11-22,0,,
122,6941,electronics,579.04,0,2019-09-09,0,,
123,4285,electronics,422.15,1,2022-09-28,0,,
124,768,electronics,883.53,1,2022-02-25,0,,
125,4883,home,388.76,0,2021-06-09,0,,
126,9603,sports,250.47,1,2020-11-30,0,,
127,4008,beauty,115.56,1,2022-08-14,0,,
128,8328,sports,234.1,1,2020-04-25,0,,
129,7793,fashion,122.03,1,2019-12-15,0,,
130,7622,beauty,288.22,1,2019-08-11,0,,
131,1621,beauty,138.94,0,2019-06-30,0,,
132,685,beauty,297.85,1,2022-08-28,0,,
133,9075,sports,227.31,1,2021-04-02,0,,
134,1210,toys,64.34,1,2022-05-15,0,,
135,8195,fashion,24.11,0,2022-10-25,0,,
136,5841,electronics,672.27,1,2022-11-17,0,,
137,8983,toys,46.98,0,2019-03-06,0,,
138,9823,fashion,26.5,0,2020-07-12,0,,
139,9479,beauty,107.4,0,2021-09-24,0,,
140,104,sports,287.58,0,2022-04-14,1,1650153600000000000,late_delivery
141,5947,sports,139.31,0,2020-01-08,0,,
142,6623,home,125.88,1,2021-10-02,0,,
143,3860,fashion,102.13,0,2022-08-02,0,,
144,4742,electronics,185.45,0,2020-09-13,0,,
145,8378,toys,46.12,0,2021-07-14,0,,
146,4646,sports,186.4,0,2023-09-11,0,,
147,7366,beauty,120.15,0,2020-06-24,0,,
148,1002,electronics,950.71,1,2019-10-04,0,,
149,9911,sports,58.0,0,2019-08-12,1,1568073600000000000,damaged
150,8577,home,443.96,0,2019-07-25,0,,
151,5939,toys,76.88,0,2019-02-22,0,,
152,8152,electronics,151.3,0,2021-05-15,0,,
153,2489,toys,68.99,1,2024-11-02,0,,
154,7685,beauty,161.71,0,2020-04-30,0,,
155,447,beauty,149.19,1,2022-06-08,0,,
156,4087,fashion,58.19,0,2020-07-29,0,,
157,7940,home,245.77,1,2019-03-30,0,,
158,2142,fashion,172.07,1,2023-08-04,0,,
159,9776,beauty,79.02,0,2023-11-28,0,,
160,7554,toys,22.53,1,2024-04-23,0,,
161,7718,fashion,58.7,0,2020-02-21,0,,
162,7730,beauty,174.51,0,2023-11-21,0,,
163,4027,beauty,280.48,1,2020-08-01,0,,
164,2774,electronics,752.58,0,2022-03-23,0,,
165,2145,toys,27.04,1,2019-07-07,1,1562544000000000000,damaged
166,8236,electronics,612.47,0,2021-02-03,0,,
167,1621,beauty,129.31,0,2023-03-01,0,,
168,347,beauty,33.04,0,2019-05-20,0,,
169,587,fashion,101.7,0,2023-04-04,0,,
170,8203,electronics,282.31,0,2024-11-10,0,,
171,5403,beauty,255.83,1,2021-11-21,0,,
172,7285,toys,48.43,0,2019-07-16,0,,
173,9954,toys,69.12,0,2023-05-31,0,,
174,7811,home,479.78,0,2021-07-05,0,,
175,4750,electronics,1140.35,0,2022-09-23,0,,
176,6342,fashion,36.07,0,2021-05-11,0,,
177,6848,toys,76.14,0,2024-07-24,0,,
178,6618,electronics,985.53,0,2022-02-08,0,,
179,4915,electronics,966.54,0,2023-02-21,0,,
180,3164,home,81.46,0,2024-04-03,0,,
181,6702,home,122.58,0,2024-04-23,1,1714867200000000000,wrong_item
182,5875,home,488.58,0,2024-06-02,0,,
183,7498,sports,79.74,0,2023-10-06,0,,
184,6476,sports,67.33,1,2023-03-27,0,,
185,1150,electronics,530.47,0,2019-03-09,0,,
186,9378,toys,73.93,0,2021-01-28,0,,
187,4087,beauty,153.33,0,2023-12-07,0,,
188,287,beauty,277.76,0,2020-11-25,0,,
189,6217,electronics,501.06,0,2019-08-21,0,,
190,7867,toys,25.86,0,2020-11-15,0,,
191,3352,home,267.79,0,2024-02-08,0,,
192,6007,beauty,192.33,1,2020-09-02,0,,
193,9049,sports,129.62,0,2020-12-03,0,,
194,725,home,199.17,0,2021-07-26,0,,
195,7841,home,140.31,1,2019-04-14,0,,
196,5757,sports,97.0,0,2020-10-31,0,,
197,1158,toys,57.12,0,2023-10-08,1,1698278400000000000,wrong_item
198,8659,toys,35.89,0,2023-12-02,0,,
199,9277,toys,15.58,1,2022-02-06,0,,
200,9272,sports,58.68,0,2024-11-13,0,,
201,2176,electronics,541.0,0,2021-05-18,0,,
202,3798,home,465.27,0,2023-05-21,0,,
203,6669,fashion,80.64,0,2019-09-21,0,,
204,9176,electronics,213.67,0,2019-12-10,0,,
205,978,home,232.28,0,2019-06-01,1,1561075200000000000,late_delivery
206,9548,sports,207.27,0,2023-02-26,0,,
207,9283,beauty,186.21,0,2019-05-02,0,,
208,7649,fashion,64.61,0,2022-09-30,0,,
209,8583,beauty,212.66,0,2022-04-12,0,,
210,7596,electronics,812.16,0,2021-03-28,0,,
211,2939,toys,22.05,1,2024-08-15,0,,
212,5512,electronics,320.25,0,2020-09-12,0,,
213,1992,beauty,173.21,0,2022-03-20,0,,
214,8220,toys,56.16,1,2021-04-09,0,,
215,5145,electronics,1160.01,0,2019-11-02,0,,
216,4927,fashion,87.51,1,2024-02-14,0,,
217,5409,electronics,953.19,0,2024-06-06,0,,
218,5647,beauty,52.63,0,2019-08-01,0,,
219,7173,electronics,1084.09,0,2019-02-28,0,,
220,8018,beauty,197.27,0,2021-11-25,0,,
221,1944,beauty,196.13,0,2022-05-08,0,,
222,5464,toys,19.97,1,2021-09-27,0,,
223,3898,home,58.21,1,2019-08-22,1,1568160000000000000,damaged
224,814,electronics,886.52,0,2024-06-07,0,,
225,1104,toys,18.19,1,2022-10-26,0,,
226,9462,electronics,283.32,0,2019-12-23,0,,
227,2277,electronics,346.88,1,2022-01-01,0,,
228,5509,home,84.96,0,2019-07-25,0,,
229,7084,toys,53.78,0,2024-05-19,0,,
230,6950,home,234.12,1,2019-07-21,0,,
231,3355,fashion,62.58,0,2024-06-13,0,,
232,3443,home,242.74,0,2019-06-10,0,,
233,8722,sports,256.36,1,2020-02-03,0,,
234,9599,toys,74.9,1,2020-06-20,0,,
235,9944,home,264.24,0,2019-11-30,0,,
236,7197,electronics,745.09,0,2021-07-30,0,,
237,4772,toys,28.0,0,2024-02-18,0,,
238,3050,sports,163.81,0,2022-10-04,0,,
239,2487,sports,229.47,0,2023-07-15,0,,
240,6614,electronics,666.74,0,2024-04-17,0,,
241,3566,electronics,467.18,1,2024-07-03,0,,
242,4301,sports,182.97,1,2019-11-03,0,,
243,7769,toys,76.27,1,2019-09-14,0,,
244,5645,toys,72.16,0,2023-07-31,0,,
245,5652,beauty,235.39,0,2024-04-11,0,,
246,3707,electronics,440.02,1,2022-07-24,0,,
247,1552,sports,87.64,1,2021-04-20,0,,
248,754,toys,68.7,0,2021-07-20,0,,
249,6056,fashion,49.01,0,2021-04-17,0,,
250,1306,beauty,189.57,0,2021-10-28,0,,
251,3253,electronics,610.88,1,2022-06-26,0,,
252,6578,fashion,94.88,0,2022-08-10,0,,
253,7060,fashion,92.73,1,2021-01-23,0,,
254,8210,fashion,163.99,0,2021-07-16,0,,
255,4721,toys,16.1,0,2024-02-14,0,,
256,2072,beauty,239.21,1,2024-10-31,0,,
257,3053,toys,68.45,0,2021-03-22,0,,
258,1862,beauty,284.01,1,2021-11-10,0,,
259,3855,beauty,146.73,0,2024-06-03,0,,
260,651,home,270.03,1,2022-08-07,0,,
261,6564,toys,77.29,1,2024-07-06,0,,
262,9865,fashion,93.35,1,2022-07-06,0,,
263,5953,electronics,678.73,1,2021-02-27,1,1616544000000000000,changed_mind
264,6830,electronics,498.87,1,2024-01-01,0,,
265,8422,toys,12.21,0,2024-11-06,0,,
266,5140,sports,141.26,1,2019-08-28,0,,
267,4685,beauty,203.43,0,2020-10-06,0,,
268,9157,sports,213.18,0,2019-09-25,0,,
269,5318,electronics,156.83,0,2019-01-05,0,,
270,1753,fashion,148.17,0,2024-02-17,1,1710460800000000000,wrong_item
271,5592,fashion,98.79,0,2020-08-05,0,,
272,5616,sports,165.81,0,2023-07-21,0,,
273,7612,electronics,1159.83,1,2020-03-23,0,,
274,3421,fashion,65.51,0,2020-03-24,0,,
275,2113,beauty,233.26,1,2019-04-29,0,,
276,383,toys,50.23,0,2023-06-01,0,,
277,6905,toys,59.06,1,2021-09-20,0,,
278,755,sports,136.99,0,2019-09-18,0,,
279,319,fashion,64.67,1,2019-08-26,0,,
280,8228,home,291.22,0,2023-10-29,0,,
281,7451,beauty,124.98,0,2020-09-09,0,,
282,7851,home,142.54,1,2019-11-11,0,,
283,6227,electronics,1031.2,1,2023-11-18,0,,
284,6691,toys,43.31,0,2020-10-25,0,,
285,8626,electronics,1039.68,0,2023-03-06,0,,
286,2668,fashion,95.85,1,2024-06-13,0,,
287,2358,home,296.13,1,2021-06-02,0,,
288,6807,toys,79.67,1,2023-01-06,0,,
289,638,beauty,286.42,0,2022-01-14,0,,
290,3682,electronics,435.27,0,2019-08-12,0,,
291,2341,electronics,1062.09,1,2020-01-22,0,,
292,4013,home,219.59,1,2020-09-30,0,,
293,6414,toys,14.99,0,2023-12-15,0,,
294,2993,home,304.86,1,2019-11-30,0,,
295,8982,toys,78.39,0,2023-04-24,0,,
296,4618,fashion,175.89,0,2023-02-25,0,,
297,9415,toys,18.85,0,2019-12-20,0,,
298,6755,electronics,959.8,1,2024-10-14,0,,
299,575,electronics,992.97,1,2021-05-17,0,,
300,7447,beauty,123.25,0,2024-05-17,0,,
301,9991,toys,56.1,0,2022-04-03,0,,
302,4575,beauty,156.68,0,2024-05-11,0,,
303,6617,fashion,56.46,1,2021-04-26,0,,
304,3871,toys,63.29,0,2021-05-16,0,,
305,5096,toys,28.39,0,2023-02-07,0,,
306,421,home,196.61,0,2021-02-06,0,,
307,8901,home,127.41,0,2021-05-30,0,,
308,2243,electronics,905.23,0,2021-11-13,0,,
309,752,home,251.01,0,2021-03-14,0,,
310,7065,toys,41.04,0,2023-05-15,0,,
311,1973,toys,52.32,0,2020-11-14,0,,
312,8794,beauty,64.03,0,2020-11-26,0,,
313,9662,toys,72.87,0,2020-05-11,0,,
314,944,beauty,150.23,0,2024-01-25,0,,
315,876,electronics,534.85,0,2023-08-22,1,1694217600000000000,changed_mind
316,5846,fashion,40.27,1,2021-06-09,0,,
317,1778,toys,21.76,1,2024-08-27,0,,
318,6191,sports,277.7,0,2021-05-15,0,,
319,3342,toys,41.96,0,2024-03-19,0,,
320,7629,electronics,908.29,0,2021-08-30,0,,
321,9441,fashion,32.88,0,2024-12-26,0,,
322,2673,fashion,122.95,0,2023-08-20,0,,
323,2794,fashion,167.44,1,2019-11-15,0,,
324,5027,beauty,103.99,0,2024-05-04,0,,
325,6138,toys,50.54,0,2024-05-10,0,,
326,968,toys,75.82,1,2020-11-11,0,,
327,31,sports,221.41,1,2021-06-02,0,,
328,6174,sports,37.45,0,2023-06-19,0,,
329,4307,beauty,126.05,0,2024-07-16,0,,
330,8294,home,79.46,1,2020-09-22,1,1600819200000000000,wrong_item
331,2986,home,436.21,0,2022-01-02,0,,
332,1578,home,325.96,0,2019-11-17,0,,
333,5681,fashion,173.02,0,2021-12-28,0,,
334,1822,toys,11.38,0,2020-03-21,0,,
335,1168,electronics,594.24,0,2024-09-11,0,,
336,8193,sports,49.22,1,2022-07-24,0,,
337,7619,beauty,118.14,1,2022-04-05,0,,
338,4484,beauty,65.33,0,2020-01-30,0,,
339,727,home,191.25,1,2024-06-07,0,,
340,9673,beauty,249.39,0,2024-10-24,0,,
341,9805,sports,65.0,0,2024-05-16,0,,
342,7773,fashion,95.79,0,2023-10-12,0,,
343,8996,sports,278.04,0,2023-02-02,0,,
344,9377,toys,79.91,0,2020-11-19,0,,
345,4125,electronics,413.17,1,2019-02-14,0,,
346,4028,fashion,169.69,1,2020-05-04,0,,
347,1371,sports,93.19,0,2022-10-03,0,,
348,4974,toys,38.95,1,2020-06-01,0,,
349,2170,electronics,1071.82,0,2023-08-17,0,,
350,2736,home,401.64,0,2023-03-29,0,,
351,3119,fashion,157.2,1,2021-03-01,0,,
352,7468,beauty,244.07,0,2022-09-30,0,,
353,6077,beauty,85.82,0,2024-02-11,0,,
354,5109,home,297.05,0,2024-04-19,0,,
355,4604,home,217.22,0,2021-10-23,0,,
356,2533,electronics,632.7,1,2022-07-14,0,,
357,64,home,110.82,1,2020-08-03,0,,
358,7271,beauty,108.41,0,2022-05-16,0,,
359,9176,sports,260.14,0,2023-12-24,0,,
360,2873,sports,271.32,1,2020-04-30,0,,
361,6312,fashion,117.62,0,2021-04-27,0,,
362,6856,toys,44.88,1,2023-02-14,0,,
363,7027,beauty,219.6,0,2019-06-17,0,,
364,9497,toys,52.62,0,2024-03-19,0,,
365,1111,beauty,295.43,0,2022-09-16,0,,
366,7871,toys,23.31,0,2021-12-16,0,,
367,236,beauty,145.73,1,2020-05-15,0,,
368,1733,toys,74.28,0,2021-06-03,1,1624579200000000000,wrong_item
369,4700,sports,276.13,0,2022-05-27,1,1656115200000000000,late_delivery
370,1509,electronics,670.11,0,2023-11-26,0,,
371,4698,electronics,291.55,0,2021-12-05,0,,
372,7861,sports,248.19,0,2022-03-27,0,,
373,6192,electronics,764.42,1,2024-02-22,1,1709769600000000000,damaged
374,7142,home,395.66,0,2021-08-11,0,,
375,5695,fashion,94.0,0,2024-07-23,0,,
376,1309,electronics,364.08,0,2020-05-18,0,,
377,3438,toys,11.68,0,2021-03-28,0,,
378,9969,electronics,737.1,1,2023-02-21,0,,
379,5842,fashion,45.77,0,2023-10-27,0,,
380,5660,toys,23.1,0,2020-01-11,0,,
381,7455,sports,142.17,1,2022-08-26,0,,
382,7664,electronics,614.18,0,2021-02-19,0,,
383,5474,beauty,96.83,1,2023-12-04,0,,
384,2361,toys,19.23,0,2021-09-16,0,,
385,9397,sports,284.59,0,2020-06-14,0,,
386,6515,beauty,56.86,0,2020-07-19,0,,
387,8730,sports,118.22,0,2022-10-26,0,,
388,273,beauty,105.36,0,2019-01-19,0,,
389,230,sports,262.57,0,2019-09-16,0,,
390,3224,sports,134.82,0,2019-07-28,0,,
391,9556,toys,18.68,1,2019-11-03,0,,
392,311,toys,10.72,0,2020-09-20,0,,
393,9027,sports,222.15,0,2022-10-18,0,,
394,7316,home,368.67,0,2024-08-30,0,,
395,2152,sports,136.98,0,2019-06-19,0,,
396,6091,fashion,40.21,0,2021-12-13,0,,
397,9840,electronics,540.22,0,2020-03-29,0,,
398,3565,sports,185.17,1,2021-10-19,0,,
399,5040,beauty,217.1,0,2024-12-18,0,,
400,8901,beauty,41.91,0,2021-09-25,0,,
401,356,beauty,175.77,0,2020-04-10,0,,
402,7061,toys,29.33,0,2024-10-05,0,,
403,2131,sports,192.83,1,2021-09-27,0,,
404,8001,sports,201.48,0,2024-01-21,0,,
405,7600,home,458.88,0,2019-04-19,0,,
406,6163,toys,38.73,1,2021-03-04,0,,
407,6744,fashion,106.01,0,2021-09-28,0,,
408,3112,toys,28.78,0,2024-01-27,0,,
409,8320,electronics,450.88,0,2022-07-25,0,,
410,392,toys,13.22,0,2024-10-01,0,,
411,4536,fashion,65.77,1,2020-08-13,0,,
412,3791,toys,14.47,0,2022-02-06,0,,
413,382,fashion,174.23,0,2021-04-20,0,,
414,8100,electronics,805.48,0,2024-05-21,0,,
415,7859,sports,68.48,0,2022-03-13,0,,
416,6947,home,93.71,0,2023-07-12,0,,
417,5733,electronics,538.63,0,2020-11-12,0,,
418,4206,sports,106.14,1,2022-01-03,0,,
419,873,sports,98.19,0,2021-10-10,1,1635811200000000000,changed_mind
420,1015,sports,151.09,0,2022-08-16,0,,
421,7809,beauty,275.6,0,2024-05-12,0,,
422,6377,sports,179.05,0,2022-01-26,0,,
423,3151,electronics,697.29,0,2019-03-19,0,,
424,957,electronics,996.88,1,2023-04-19,0,,
425,5617,home,41.85,1,2023-05-22,0,,
426,6008,toys,23.82,0,2023-08-14,0,,
427,2014,home,268.25,1,2024-03-03,0,,
428,7982,home,364.44,0,2020-02-27,0,,
429,8702,electronics,659.28,1,2021-11-02,0,,
430,2058,electronics,321.9,0,2023-04-24,1,1684540800000000000,changed_mind
431,6327,sports,280.4,0,2023-03-09,0,,
432,6579,beauty,112.03,0,2023-08-24,0,,
433,942,beauty,240.7,1,2021-01-03,0,,
434,1053,home,450.05,0,2024-08-08,0,,
435,5769,home,199.37,1,2024-04-15,0,,
436,5344,home,428.84,0,2022-03-07,0,,
437,6183,home,366.96,1,2024-10-19,0,,
438,4753,home,455.97,0,2022-09-07,0,,
439,7961,sports,90.37,0,2023-04-30,0,,
440,4245,beauty,280.76,0,2021-12-01,0,,
441,1546,sports,38.29,0,2020-05-10,0,,
442,3607,fashion,146.99,0,2024-09-03,0,,
443,5898,fashion,89.71,1,2023-06-15,0,,
444,4842,beauty,69.81,0,2019-06-09,0,,
445,6346,toys,15.56,0,2019-03-09,0,,
446,978,toys,37.27,0,2020-01-02,0,,
447,186,beauty,129.01,1,2019-03-16,0,,
448,1618,sports,84.39,0,2024-08-24,0,,
449,7060,toys,25.09,1,2023-07-30,0,,
450,8658,electronics,569.49,0,2021-04-20,0,,
451,9276,toys,38.71,1,2019-05-22,0,,
452,7454,beauty,143.86,0,2021-10-27,0,,
453,2053,fashion,159.0,0,2024-05-06,0,,
454,8840,toys,52.79,0,2020-10-19,0,,
455,1465,toys,11.43,0,2020-07-23,0,,
456,2925,toys,46.34,0,2020-12-17,0,,
457,4176,electronics,950.57,0,2022-09-25,0,,
458,3094,sports,35.8,1,2021-08-20,0,,
459,3788,sports,138.33,0,2020-10-17,0,,
460,2266,electronics,623.77,1,2022-01-27,0,,
461,8744,sports,287.13,0,2024-09-16,0,,
462,8435,beauty,153.19,1,2020-12-23,0,,
463,2963,home,384.95,0,2019-11-10,0,,
464,326,beauty,104.81,0,2020-02-01,0,,
465,7417,sports,238.21,0,2021-06-13,0,,
466,9934,sports,110.35,0,2024-04-18,0,,
467,8170,home,237.81,0,2019-07-25,0,,
468,2807,toys,43.56,0,2022-05-04,0,,
469,6690,fashion,168.22,1,2023-02-08,0,,
470,1409,home,64.59,1,2024-02-23,0,,
471,8865,beauty,75.12,0,2024-04-02,0,,
472,9013,fashion,132.92,1,2022-11-16,0,,
473,5160,fashion,112.41,0,2020-05-12,0,,
474,2505,sports,90.43,1,2022-04-20,0,,
475,1570,beauty,100.98,0,2024-10-30,0,,
476,5041,electronics,535.67,0,2023-02-22,0,,
477,4974,toys,41.52,0,2021-05-08,0,,
478,3058,home,416.29,0,2023-08-04,0,,
479,6830,toys,10.97,0,2021-04-07,0,,
480,7391,beauty,271.45,0,2020-07-27,1,1597708800000000000,changed_mind
481,6628,sports,135.65,1,2024-01-27,0,,
482,4003,fashion,56.88,0,2020-02-15,0,,
483,4092,beauty,162.36,0,2023-05-20,1,1686528000000000000,late_delivery
484,9405,toys,56.18,0,2019-06-20,0,,
485,1978,electronics,196.99,0,2024-02-19,0,,
486,4021,beauty,220.42,0,2023-02-03,0,,
487,4472,beauty,233.01,0,2022-08-19,0,,
488,8192,sports,66.53,0,2024-04-30,0,,
489,7740,beauty,67.01,0,2024-01-26,0,,
490,515,sports,77.06,0,2019-08-21,0,,
491,5030,toys,65.76,1,2021-06-29,0,,
492,8226,fashion,63.52,1,2022-06-02,0,,
493,3180,fashion,147.35,1,2019-07-09,0,,
494,785,home,288.64,1,2019-06-28,0,,
495,2539,toys,63.7,0,2024-11-11,0,,
496,7319,fashion,108.59,1,2022-01-01,0,,
497,6159,fashion,73.72,0,2022-10-01,0,,
498,4263,electronics,1106.25,0,2019-07-16,0,,
499,6475,fashion,134.45,0,2019-03-18,0,,
500,290,electronics,658.26,0,2022-05-15,0,,
501,2736,home,333.22,1,2022-10-31,0,,
502,1832,fashion,118.53,0,2023-07-26,0,,
503,4065,electronics,526.02,0,2024-06-04,0,,
504,2975,home,234.94,0,2024-09-19,1,1729036800000000000,wrong_item
505,82,electronics,484.17,0,2019-11-21,0,,
506,5477,sports,299.87,0,2023-04-13,0,,
507,7,sports,182.42,1,2022-01-06,0,,
508,1377,fashion,34.73,1,2023-11-15,0,,
509,8792,sports,165.35,1,2024-06-01,0,,
510,3161,beauty,33.99,0,2023-11-23,0,,
511,3320,sports,100.82,0,2022-05-20,0,,
512,4417,home,245.14,1,2023-03-03,0,,
513,9131,electronics,710.98,1,2023-12-11,0,,
514,5413,beauty,293.33,1,2023-07-02,0,,
515,2150,electronics,1181.33,0,2023-12-21,1,1703808000000000000,changed_mind
516,4070,toys,16.86,0,2021-10-31,0,,
517,7530,sports,170.68,0,2021-11-10,0,,
518,5647,electronics,1007.96,0,2024-11-29,0,,
519,6839,toys,26.64,0,2022-11-20,0,,
520,4781,home,385.26,1,2022-12-13,0,,
521,6511,toys,71.5,0,2019-10-03,0,,
522,5960,sports,205.5,0,2023-05-19,0,,
523,9219,fashion,72.43,1,2020-11-24,0,,
524,7898,electronics,1119.29,0,2021-07-04,0,,
525,3274,fashion,161.36,1,2019-12-08,0,,
526,3201,sports,220.43,1,2023-06-15,0,,
527,2713,toys,35.46,1,2023-03-29,0,,
528,8608,toys,65.43,0,2024-02-06,0,,
529,5617,electronics,481.91,0,2021-04-21,0,,
530,8109,electronics,415.6,0,2020-08-28,0,,
531,4879,home,276.91,1,2019-08-15,0,,
532,6015,home,498.68,1,2019-12-03,0,,
533,4966,toys,66.3,1,2020-11-13,0,,
534,1971,toys,61.09,0,2022-11-05,0,,
535,9740,fashion,92.32,0,2020-04-27,0,,
